DataHub Name,idv_for_model_corrected
directions_rank_1st_is_designed_to_meet_my_dogâ€™s_health_needs,directions_brand_attributes_is_designed_to_meet_my_dogs_health_needs_rank_1st
directions_mean_is_easy_to_find_and_buy,directions_brand_attributes_is_easy_to_find_and_buy_mean
directions_rank_1st_is_easy_to_find_and_buy,directions_brand_attributes_is_easy_to_find_and_buy_rank_1st
directions_mean_is_made_of_ingredients_that_are_safe_for_my_home_and_the_environment,directions_brand_attributes_is_made_of_ingredients_that_are_safe_for_my_home_and_the_environment_mean
directions_rank_1st_is_made_of_ingredients_that_are_safe_for_my_home_and_the_environment,directions_brand_attributes_is_made_of_ingredients_that_are_safe_for_my_home_and_the_environment_rank_1st
directions_mean_is_often_available_on_promotion_or_deal,directions_brand_attributes_is_often_available_on_promotion_or_deal_mean
directions_rank_1st_is_often_available_on_promotion_or_deal,directions_brand_attributes_is_often_available_on_promotion_or_deal_rank_1st
directions_mean_is_recommended_by_experts_i_trust,directions_brand_attributes_is_recommended_by_experts_i_trust_mean
directions_rank_1st_is_recommended_by_experts_i_trust,directions_brand_attributes_is_recommended_by_experts_i_trust_rank_1st
directions_mean_is_something_i'm_confident_my_dog_will_eat,directions_brand_attributes_is_something_im_confident_my_dog_will_eat_mean
directions_rank_1st_is_something_i'm_confident_my_dog_will_eat,directions_brand_attributes_is_something_im_confident_my_dog_will_eat_rank_1st
directions_mean_is_too_cheap_to_be_of_acceptable_quality,directions_brand_attributes_is_too_cheap_to_be_of_acceptable_quality_mean
directions_rank_1st_is_too_cheap_to_be_of_acceptable_quality,directions_brand_attributes_is_too_cheap_to_be_of_acceptable_quality_rank_1st
directions_mean_is_well_tolerated_by_my_cat_not_causing_digestive_issues_or_adverse_reactions,directions_brand_attributes_is_well_tolerated_by_my_cat_not_causing_digestive_issues_or_adverse_reactions_mean
directions_rank_1st_is_well_tolerated_by_my_cat_not_causing_digestive_issues_or_adverse_reactions,directions_brand_attributes_is_well_tolerated_by_my_cat_not_causing_digestive_issues_or_adverse_reactions_rank_1st
directions_mean_makes_it_easy_for_me_to_clean_my_cat's_litter_box,directions_brand_attributes_makes_it_easy_for_me_to_clean_my_cats_litter_box_mean
directions_rank_1st_makes_it_easy_for_me_to_clean_my_cat's_litter_box,directions_brand_attributes_makes_it_easy_for_me_to_clean_my_cats_litter_box_rank_1st
directions_mean_offers_a_flavor(s)_that_appeals_to_my_dog's_taste,directions_brand_attributes_offers_a_flavors_that_appeals_to_my_dogs_taste_mean
directions_rank_1st_offers_a_flavor(s)_that_appeals_to_my_dog's_taste,directions_brand_attributes_offers_a_flavors_that_appeals_to_my_dogs_taste_rank_1st
directions_mean_offers_litters_that_are_healthier_for_my_cat,directions_brand_attributes_offers_litters_that_are_healthier_for_my_cat_mean
directions_rank_1st_offers_litters_that_are_healthier_for_my_cat,directions_brand_attributes_offers_litters_that_are_healthier_for_my_cat_rank_1st
directions_mean_offers_products_that_contain_real_natural_ingredients,directions_brand_attributes_offers_products_that_contain_real_natural_ingredients_mean
directions_rank_1st_offers_products_that_contain_real_natural_ingredients,directions_brand_attributes_offers_products_that_contain_real_natural_ingredients_rank_1st
directions_mean_offers_the_best_lightweight_litters,directions_brand_attributes_offers_the_best_lightweight_litters_mean
directions_rank_1st_offers_the_best_lightweight_litters,directions_brand_attributes_offers_the_best_lightweight_litters_rank_1st
directions_mean_provides_all_the_variety_my_cat_wants,directions_brand_attributes_provides_all_the_variety_my_cat_wants_mean
directions_rank_1st_provides_all_the_variety_my_cat_wants,directions_brand_attributes_provides_all_the_variety_my_cat_wants_rank_1st
directions_mean_provides_better_nutrition_than_other_brands,directions_brand_attributes_provides_better_nutrition_than_other_brands_mean
directions_rank_1st_provides_better_nutrition_than_other_brands,directions_brand_attributes_provides_better_nutrition_than_other_brands_rank_1st
directions_mean_stays_current_with_the_latest_research_in_pet_nutrition,directions_brand_attributes_stays_current_with_the_latest_research_in_pet_nutrition_mean
directions_rank_1st_stays_current_with_the_latest_research_in_pet_nutrition,directions_brand_attributes_stays_current_with_the_latest_research_in_pet_nutrition_rank_1st
directions_mean_understands_the_relationship_between_me_and_my_cat,directions_brand_attributes_understands_the_relationship_between_me_and_my_cat_mean
directions_rank_1st_understands_the_relationship_between_me_and_my_cat,directions_brand_attributes_understands_the_relationship_between_me_and_my_cat_rank_1st
directions_mean_understands_the_relationship_between_me_and_my_dog,directions_brand_attributes_understands_the_relationship_between_me_and_my_dog_mean
directions_rank_1st_understands_the_relationship_between_me_and_my_dog,directions_brand_attributes_understands_the_relationship_between_me_and_my_dog_rank_1st
directions_mean_uses_higher_quality_ingredients_than_other_brands,directions_brand_attributes_uses_higher_quality_ingredients_than_other_brands_mean
directions_rank_1st_uses_higher_quality_ingredients_than_other_brands,directions_brand_attributes_uses_higher_quality_ingredients_than_other_brands_rank_1st
directions_net_dislike,directions_brand_connection_dislike_net
directions_net_hate,directions_brand_connection_hate_net
directions_net_like,directions_brand_connection_like_net
directions_net_love,directions_brand_connection_love_net
directions_net_neutral,directions_brand_connection_neutral_net
directions_net_a_brand_i_would_not_consider_buying,directions_brand_consideration_a_brand_i_would_not_consider_buying_net
directions_net_one_of_many_brands_i_would_consider_buying,directions_brand_consideration_one_of_many_brands_i_would_consider_buying_net
directions_net_the_only_brand_i_would_consider_buying,directions_brand_consideration_the_only_brand_i_would_consider_buying_net
directions_t2b_brand_trust_buyers,directions_brand_trust_buyers_t2b
directions_net_don't_trust_brand_at_all,directions_brand_trust_dont_trust_brand_at_all_net
directions_net_don't_trust_brand_very_much,directions_brand_trust_dont_trust_brand_very_much_net
directions_t2b_brand_trust_non-buyers,directions_brand_trust_nonbuyers_t2b
directions_net_trust_brand_completely,directions_brand_trust_trust_brand_completely_net
directions_net_trust_brand_somewhat,directions_brand_trust_trust_brand_somewhat_net
directions_net_trust_brand_very_much,directions_brand_trust_trust_brand_very_much_net
directions_t2b_buyers_advocacy,directions_funnel_metrics_advocacy_t2b_buyers
directions_net_mentions_awareness,directions_funnel_metrics_awareness_net_mentions
directions_t2b_consider,directions_funnel_metrics_consider_t2b
directions_t2b_buyers_loyalty,directions_funnel_metrics_loyalty_t2b_buyers
directions_t2b_buyers_purchased_or_used,directions_funnel_metrics_purchased_or_used_t2b_buyers
directions_net_definitely_would_buy,directions_future_purchase_intent_definitely_would_buy_net
directions_net_definitely_would_not_buy,directions_future_purchase_intent_definitely_would_not_buy_net
directions_net_might_or_might_not_buy,directions_future_purchase_intent_might_or_might_not_buy_net
directions_net_probably_would_buy,directions_future_purchase_intent_probably_would_buy_net
directions_net_probably_would_not_buy,directions_future_purchase_intent_probably_would_not_buy_net
directions_index_brand_distinction,directions_strategic_measures_brand_distinction_index
directions_index_brand_essence,directions_strategic_measures_brand_essence_index
directions_index_brand_interest,directions_strategic_measures_brand_interest_index
directions_index_brand_love,directions_strategic_measures_brand_love_index
directions_index_brand_loyalty,directions_strategic_measures_brand_loyalty_index
directions_index_purchase_interest,directions_strategic_measures_purchase_interest_index
directions_index_purchase_projection,directions_strategic_measures_purchase_projection_index
,morning_consult_absolutely_certain_all_respondents
,morning_consult_daily_users_all_respondents
,morning_consult_high_distrust_all_respondents
,morning_consult_high_trust_all_respondents
,morning_consult_infrequent_users_all_respondents
,morning_consult_negative_buzz_all_respondents
,morning_consult_net_buzz_all_respondents
,morning_consult_net_favorability_all_respondents
,morning_consult_net_promoter_score_all_respondents
,morning_consult_net_purchase_consideration_all_respondents
,morning_consult_net_trust_all_respondents
,morning_consult_net_value_all_respondents
,morning_consult_not_users_all_respondents
,morning_consult_nps_detractors_all_respondents
,morning_consult_nps_passives_all_respondents
,morning_consult_nps_promoters_all_respondents
,morning_consult_positive_buzz_all_respondents
,morning_consult_total_aware_all_respondents
,morning_consult_total_buzz_all_respondents
,morning_consult_total_considering_all_respondents
,morning_consult_total_distrust_all_respondents
,morning_consult_total_favorable_all_respondents
,morning_consult_total_good_value_all_respondents
,morning_consult_total_not_considering_all_respondents
,morning_consult_total_poor_value_all_respondents
,morning_consult_total_trust_all_respondents
,morning_consult_total_unfavorable_all_respondents
,morning_consult_users_all_respondents
,morning_consult_very_favorable_all_respondents
,morning_consult_very_good_value_all_respondents
,morning_consult_very_poor_value_all_respondents
,morning_consult_very_unfavorable_all_respondents
,morning_consult_weekly_users_all_respondents
,morning_consult_would_not_consider_all_respondents
neilsen_panel_%_2+_time_buying_households,neilsen_panel_per_2_plus_time_buying_households
neilsen_panel_%_volume_lbs_on_deal,neilsen_panel_per_volume_lbs_on_deal
neilsen_panel_bulk_density_volume,neilsen_panel_bulk_density_volume
neilsen_panel_buying_households,neilsen_panel_buying_households
neilsen_panel_household_penetration,neilsen_panel_household_penetration
neilsen_panel_occasions,neilsen_panel_occasions
neilsen_panel_occasions_per_buying_household,neilsen_panel_occasions_per_buying_household
neilsen_panel_purchase_cycle_days,neilsen_panel_purchase_cycle_days
neilsen_panel_raw_buying_households,neilsen_panel_raw_buying_households
neilsen_panel_share_of_bulk_density_product,neilsen_panel_share_of_bulk_density_product
neilsen_panel_share_of_units_multi_product,neilsen_panel_share_of_units_multi_product
neilsen_panel_share_of_value_product,neilsen_panel_share_of_value_product
neilsen_panel_share_of_volume_lbs_product,neilsen_panel_share_of_volume_lbs_product
neilsen_panel_units_multi,neilsen_panel_units_multi
neilsen_panel_value,neilsen_panel_value
neilsen_panel_value_per_buying_household,neilsen_panel_value_per_buying_household
neilsen_panel_value_per_occasion,neilsen_panel_value_per_occasion
neilsen_panel_volume_lbs,neilsen_panel_volume_lbs
neilsen_panel_volume_lbs_per_buying_household,neilsen_panel_volume_lbs_per_buying_household
neilsen_panel_volume_lbs_per_occasion,neilsen_panel_volume_lbs_per_occasion
oca_complaints,oca_complaints
oca_complaints_percentage,oca_complaints_percentage
oca_inquiries,oca_inquiries
oca_inquiries_percentage,oca_inquiries_percentage
oca_invalid_root_cause,oca_invalid_root_cause
oca_invalid_root_cause_percentage,oca_invalid_root_cause_percentage
oca_lvl2_complaint_e_commerce,oca_lvl2_complaint_e_commerce
oca_lvl2_complaint_health_concern,oca_lvl2_complaint_health_concern
oca_lvl2_complaint_infestation,oca_lvl2_complaint_infestation
oca_lvl2_complaint_miscellaneous,oca_lvl2_complaint_miscellaneous
oca_lvl2_complaint_package_design_construction,oca_lvl2_complaint_package_design_construction
oca_lvl2_complaint_package_quality,oca_lvl2_complaint_package_quality
oca_lvl2_complaint_product_formulation,oca_lvl2_complaint_product_formulation
oca_lvl2_complaint_product_location_not_available,oca_lvl2_complaint_product_location_not_available
oca_lvl2_complaint_product_quality,oca_lvl2_complaint_product_quality
oca_lvl2_complaint_promotion_advertising,oca_lvl2_complaint_promotion_advertising
oca_lvl2_complaint_purina_for_professionals,oca_lvl2_complaint_purina_for_professionals
oca_lvl2_complaint_value_pricing_size,oca_lvl2_complaint_value_pricing_size
oca_lvl2_complaint_vendor_issues,oca_lvl2_complaint_vendor_issues
oca_lvl2_complaint_website,oca_lvl2_complaint_website
oca_lvl2_inquiry_e_commerce,oca_lvl2_inquiry_e_commerce
oca_lvl2_inquiry_health_concern,oca_lvl2_inquiry_health_concern
oca_lvl2_inquiry_miscellaneous,oca_lvl2_inquiry_miscellaneous
oca_lvl2_inquiry_package_design_construction,oca_lvl2_inquiry_package_design_construction
oca_lvl2_inquiry_pet_care_nutrition,oca_lvl2_inquiry_pet_care_nutrition
oca_lvl2_inquiry_product_availability_distribution,oca_lvl2_inquiry_product_availability_distribution
oca_lvl2_inquiry_product_formulation,oca_lvl2_inquiry_product_formulation
oca_lvl2_inquiry_promotion_advertising,oca_lvl2_inquiry_promotion_advertising
oca_lvl2_inquiry_value_pricing_size,oca_lvl2_inquiry_value_pricing_size
oca_lvl2_inquiry_website,oca_lvl2_inquiry_website
oca_lvl2_invalid_root_cause,oca_lvl2_invalid_root_cause
oca_lvl2_praise_miscellaneous,oca_lvl2_praise_miscellaneous
oca_lvl2_praise_package,oca_lvl2_praise_package
oca_lvl2_praise_prodcut_formulation,oca_lvl2_praise_prodcut_formulation
oca_lvl2_praise_promotion,oca_lvl2_praise_promotion
oca_lvl2_praise_website,oca_lvl2_praise_website
oca_lvl2_unknown_root_cause,oca_lvl2_unknown_root_cause
oca_praise,oca_praise
oca_praise_percentage,oca_praise_percentage
oca_unknown_root_cause,oca_unknown_root_cause
oca_unknown_root_cause_percentage,oca_unknown_root_cause_percentage
,ratings_reviews_1_star_ratings
,ratings_reviews_2_star_ratings
,ratings_reviews_3_star_ratings
,ratings_reviews_4_star_ratings
,ratings_reviews_5_star_ratings
,ratings_reviews_review_count
,ratings_reviews_review_rating_average
,ratings_reviews_review_rating_median
,ratings_reviews_review_rating_mode
,ratings_reviews_review_sentiment_score_average
,ratings_reviews_review_sentiment_score_bad_experiences
,ratings_reviews_review_sentiment_score_bad_experiences_count
,ratings_reviews_review_sentiment_score_health_benefits
,ratings_reviews_review_sentiment_score_health_benefits_count
,ratings_reviews_review_sentiment_score_ingredients
,ratings_reviews_review_sentiment_score_ingredients_count
,ratings_reviews_review_sentiment_score_litter_performance
,ratings_reviews_review_sentiment_score_litter_performance_count
,ratings_reviews_review_sentiment_score_null
,ratings_reviews_review_sentiment_score_null_count
,ratings_reviews_review_sentiment_score_others
,ratings_reviews_review_sentiment_score_others_count
,ratings_reviews_review_sentiment_score_pet_enjoyment
,ratings_reviews_review_sentiment_score_pet_enjoyment_count
,ratings_reviews_review_sentiment_score_simplify
,ratings_reviews_review_sentiment_score_simplify_count
,ratings_reviews_review_sentiment_score_value_for_the_money
,ratings_reviews_review_sentiment_score_value_for_the_money_count
search_actual_keyword_alias_count,search_actual_keyword_alias_count
search_actual_keyword_count,search_actual_keyword_count
search_searchvolume,search_searchVolume
search_total_keyword_alias_count,search_total_keyword_alias_count
search_total_keyword_count,search_total_keyword_count
social_negative_sentiment,social_negative_sentiment
social_neutral_sentiment,social_neutral_sentiment
social_percent_negative,social_percent_negative
social_percent_neutral,social_percent_neutral
social_percent_positive,social_percent_positive
social_positive_sentiment,social_positive_sentiment
social_share_of_negative_sentiment,social_share_of_negative_sentiment
social_share_of_neutral_sentiment,social_share_of_neutral_sentiment
social_share_of_positive_sentiment,social_share_of_positive_sentiment
social_share_of_total_buzz_post,social_share_of_total_buzz_post
social_social_mentions,social_social_mentions
social_total_buzz_post,social_total_buzz_post
directions_net_authentic,directions_brand_personality_authentic_net
directions_net_distinctive,directions_brand_personality_distinctive_net
directions_net_dynamic,directions_brand_personality_dynamic_net
directions_net_friendly,directions_brand_personality_friendly_net
directions_net_fun,directions_brand_personality_fun_net
directions_net_innovative,directions_brand_personality_innovative_net
directions_net_intelligent,directions_brand_personality_intelligent_net
directions_net_rugged,directions_brand_personality_rugged_net
directions_net_sophisticated,directions_brand_personality_sophisticated_net
directions_net_unique,directions_brand_personality_unique_net
ratings_reviews_count_bad_experiences_,ratings_reviews_review_sentiment_score_bad_experiences_count
ratings_reviews_count_health_benefits_,ratings_reviews_review_sentiment_score_health_benefits_count
ratings_reviews_count_ingredients_,ratings_reviews_review_sentiment_score_ingredients_count
ratings_reviews_count_litter_performance_,ratings_reviews_review_sentiment_score_litter_performance_count
ratings_reviews_count_null_,ratings_reviews_review_sentiment_score_null_count
ratings_reviews_count_others_,ratings_reviews_review_sentiment_score_others_count
ratings_reviews_count_pet_enjoyment_,ratings_reviews_review_sentiment_score_pet_enjoyment_count
ratings_reviews_count_simplify_,ratings_reviews_review_sentiment_score_simplify_count
ratings_reviews_count_value_for_the_money_,ratings_reviews_review_sentiment_score_value_for_the_money_count
ratings_reviews_review_,ratings_reviews_review_count
ratings_reviews_sentiment_score_average_sentiment_score,ratings_reviews_review_sentiment_score_average
ratings_reviews_sentiment_score_bad_experiences,ratings_reviews_review_sentiment_score_bad_experiences
ratings_reviews_sentiment_score_health_benefits,ratings_reviews_review_sentiment_score_health_benefits
ratings_reviews_sentiment_score_ingredients,ratings_reviews_review_sentiment_score_ingredients
ratings_reviews_sentiment_score_litter_performance,ratings_reviews_review_sentiment_score_litter_performance
ratings_reviews_sentiment_score_null,ratings_reviews_review_sentiment_score_null
ratings_reviews_sentiment_score_others,ratings_reviews_review_sentiment_score_others
ratings_reviews_sentiment_score_pet_enjoyment,ratings_reviews_review_sentiment_score_pet_enjoyment
ratings_reviews_sentiment_score_simplify,ratings_reviews_review_sentiment_score_simplify
ratings_reviews_sentiment_score_value_for_the_money,ratings_reviews_review_sentiment_score_value_for_the_money
ratings_reviews_count_bad_experiences,ratings_reviews_review_sentiment_score_bad_experiences_count
ratings_reviews_count_health_benefits,ratings_reviews_review_sentiment_score_health_benefits_count
ratings_reviews_count_ingredients,ratings_reviews_review_sentiment_score_ingredients_count
ratings_reviews_count_litter_performance,ratings_reviews_review_sentiment_score_litter_performance_count
ratings_reviews_count_null,ratings_reviews_review_sentiment_score_null_count
ratings_reviews_count_others,ratings_reviews_review_sentiment_score_others_count
ratings_reviews_count_pet_enjoyment,ratings_reviews_review_sentiment_score_pet_enjoyment_count
ratings_reviews_count_simplify,ratings_reviews_review_sentiment_score_simplify_count
ratings_reviews_count_value_for_the_money,ratings_reviews_review_sentiment_score_value_for_the_money_count
ratings_reviews_review,ratings_reviews_review_count
neilsen_panel_%_2+_time_buyers,neilsen_panel_per_2_plus_time_buyers
neilsen_panel_%_loyalty_pound_basis_product,neilsen_panel_per_loyalty_pound_basis_product
neilsen_panel_%_loyalty_units_multi/bulk_density_product,neilsen_panel_per_loyalty_units_multi/bulk_density_product
neilsen_panel_%_loyalty_value_product,neilsen_panel_per_loyalty_value_product
neilsen_panel_%_pound_basis_on_deal,neilsen_panel_per_pound_basis_on_deal
neilsen_panel_buyers,neilsen_panel_buyers
neilsen_panel_days_btwn_purchases_annualized_2+_time_buyers,neilsen_panel_days_btwn_purchases_annualized_2_plus_time_buyers
neilsen_panel_occasions,neilsen_panel_occasions
neilsen_panel_occasions_per_buyer,neilsen_panel_occasions_per_buyer
neilsen_panel_penetration,neilsen_panel_penetration
neilsen_panel_pound_basis,neilsen_panel_pound_basis
neilsen_panel_pound_basis_per_buyer,neilsen_panel_pound_basis_per_buyer
neilsen_panel_pound_basis_per_occasion,neilsen_panel_pound_basis_per_occasion
neilsen_panel_raw_buyers,neilsen_panel_raw_buyers
neilsen_panel_raw_occasions,neilsen_panel_raw_occasions
neilsen_panel_share_of_buyers_product,neilsen_panel_share_of_buyers_product
neilsen_panel_share_of_pound_basis_product,neilsen_panel_share_of_pound_basis_product
neilsen_panel_share_of_units_multi/bulk_density_product,neilsen_panel_share_of_units_multi_or_bulk_density_product
neilsen_panel_share_of_value_product,neilsen_panel_share_of_value_product
neilsen_panel_units_multi/bulk_density,neilsen_panel_units_multi_or_bulk_density
neilsen_panel_value,neilsen_panel_value
neilsen_panel_value_per_buyer,neilsen_panel_value_per_buyer
neilsen_panel_value_per_occasion,neilsen_panel_value_per_occasion
